Order Date,Table Name,Sales,,,,,,,,,,
24-03-2000,Orders2,10596,,,,,,,,,,
25-03-2000,Orders1,3903,,,,,,,,,,
26-03-2000,Orders3,11717,,,,,,,,,,
27-03-2000,Orders1,1153,,,,,,,,,,
28-03-2000,Orders1,14808,,,,,,,,,,
29-03-2000,Orders1,2399,,,,,,,,,,
30-03-2000,Orders1,14131,,,,,,,,,,
31-03-2000,Orders1,10034,,,,,,,,,,
01-04-2000,Orders,13224,,,,,,,,,,
02-04-2000,Orders3,12951,,,,,,,,,,
03-04-2000,Orders3,9956,,,,,,,,,,
04-04-2000,Orders2,14778,,,,,,,,,,
05-04-2000,Orders3,9651,,,,,,,,,,
06-04-2000,Orders3,4761,,,,,,,,,,
07-04-2000,Orders1,4291,,,,,,,,,,
08-04-2000,Orders,4763,,,,,,,,,,
09-04-2000,Orders3,11714,,,,,,,,,,
10-04-2000,Orders1,6561,,,,,,,,,,
11-04-2000,Orders1,1268,,,,,,,,,,
12-04-2000,Orders3,13816,,,,,,,,,,
13-04-2000,Orders1,14428,,,,,,,,,,
14-04-2000,Orders1,8496,,,,,,,,,,
15-04-2000,Orders,9258,,,,,,,,,,
16-04-2000,Orders,13699,,,,,,,,,,
17-04-2000,Orders2,6673,,,,,,,,,,
18-04-2000,Orders1,8890,,,,,,,,,,
19-04-2000,Orders2,566,,,,,,,,,,
20-04-2000,Orders2,10554,,,,,,,,,,
21-04-2000,Orders,11992,,,,,,,,,,
22-04-2000,Orders1,13496,,,,,,,,,,
23-04-2000,Orders,8804,,,,,,,,,,
24-04-2000,Orders2,185,,,,,,,,,,
25-04-2000,Orders2,5639,,,,,,,,,,
26-04-2000,Orders,11515,,,,,,,,,,
27-04-2000,Orders2,8513,,,,,,,,,,
28-04-2000,Orders3,8520,,,,,,,,,,
29-04-2000,Orders2,9110,,,,,,,,,,
30-04-2000,Orders,12652,,,,,,,,,,
01-05-2000,Orders1,11530,,,,,,,,,,
02-05-2000,Orders2,4394,,,,,,,,,,
03-05-2000,Orders1,8718,,,,,,,,,,
04-05-2000,Orders1,6431,,,,,,,,,,
05-05-2000,Orders2,2498,,,,,,,,,,
06-05-2000,Orders2,7042,,,,,,,,,,
07-05-2000,Orders1,3251,,,,,,,,,,
08-05-2000,Orders1,11749,,,,,,,,,,
09-05-2000,Orders2,1046,,,,,,,,,,
10-05-2000,Orders1,7123,,,,,,,,,,
11-05-2000,Orders2,4539,,,,,,,,,,
12-05-2000,Orders3,7635,,,,,,,,,,
13-05-2000,Orders1,299,,,,,,,,,,
14-05-2000,Orders,7794,,,,,,,,,,
15-05-2000,Orders,476,,,,,,,,,,
16-05-2000,Orders3,1176,,,,,,,,,,
17-05-2000,Orders,13903,,,,,,,,,,
18-05-2000,Orders1,188,,,,,,,,,,
19-05-2000,Orders3,3698,,,,,,,,,,
20-05-2000,Orders2,1320,,,,,,,,,,
21-05-2000,Orders1,10759,,,,,,,,,,
22-05-2000,Orders1,10963,,,,,,,,,,
23-05-2000,Orders1,14456,,,,,,,,,,
24-05-2000,Orders1,4116,,,,,,,,,,
25-05-2000,Orders,8486,,,,,,,,,,
26-05-2000,Orders3,10017,,,,,,,,,,
27-05-2000,Orders3,14970,,,,,,,,,,
28-05-2000,Orders2,154,,,,,,,,,,
29-05-2000,Orders2,11345,,,,,,,,,,
30-05-2000,Orders3,6117,,,,,,,,,,
31-05-2000,Orders2,3922,,,,,,,,,,
01-06-2000,Orders2,9787,,,,,,,,,,
02-06-2000,Orders1,6458,,,,,,,,,,
03-06-2000,Orders2,7362,,,,,,,,,,
04-06-2000,Orders3,13128,,,,,,,,,,
05-06-2000,Orders1,3195,,,,,,,,,,
06-06-2000,Orders2,14814,,,,,,,,,,
07-06-2000,Orders2,12507,,,,,,,,,,
08-06-2000,Orders3,6844,,,,,,,,,,
09-06-2000,Orders1,10428,,,,,,,,,,
10-06-2000,Orders1,1083,,,,,,,,,,
11-06-2000,Orders3,14374,,,,,,,,,,
12-06-2000,Orders,4974,,,,,,,,,,
13-06-2000,Orders3,5306,,,,,,,,,,
14-06-2000,Orders,1023,,,,,,,,,,
15-06-2000,Orders2,2097,,,,,,,,,,
16-06-2000,Orders3,6389,,,,,,,,,,
17-06-2000,Orders1,14442,,,,,,,,,,
18-06-2000,Orders,2584,,,,,,,,,,
19-06-2000,Orders,11883,,,,,,,,,,
20-06-2000,Orders2,5651,,,,,,,,,,
21-06-2000,Orders3,13471,,,,,,,,,,
22-06-2000,Orders1,7663,,,,,,,,,,
23-06-2000,Orders2,3472,,,,,,,,,,
24-06-2000,Orders,1003,,,,,,,,,,
25-06-2000,Orders2,8375,,,,,,,,,,
26-06-2000,Orders,4691,,,,,,,,,,
27-06-2000,Orders,6724,,,,,,,,,,
28-06-2000,Orders1,11628,,,,,,,,,,
29-06-2000,Orders2,14027,,,,,,,,,,
30-06-2000,Orders1,4210,,,,,,,,,,
01-07-2000,Orders3,9217,,,,,,,,,,
02-07-2000,Orders3,5563,,,,,,,,,,
03-07-2000,Orders,6821,,,,,,,,,,
04-07-2000,Orders2,9006,,,,,,,,,,
05-07-2000,Orders3,10719,,,,,,,,,,
06-07-2000,Orders3,6774,,,,,,,,,,
07-07-2000,Orders3,11936,,,,,,,,,,
08-07-2000,Orders,10575,,,,,,,,,,
09-07-2000,Orders1,741,,,,,,,,,,
10-07-2000,Orders1,9005,,,,,,,,,,
11-07-2000,Orders2,7783,,,,,,,,,,
12-07-2000,Orders1,13100,,,,,,,,,,
13-07-2000,Orders3,1014,,,,,,,,,,
14-07-2000,Orders3,1500,,,,,,,,,,
15-07-2000,Orders2,7422,,,,,,,,,,
16-07-2000,Orders2,5623,,,,,,,,,,
17-07-2000,Orders1,11151,,,,,,,,,,
18-07-2000,Orders2,6133,,,,,,,,,,
19-07-2000,Orders3,2596,,,,,,,,,,
20-07-2000,Orders2,13148,,,,,,,,,,
21-07-2000,Orders2,5454,,,,,,,,,,
22-07-2000,Orders,8871,,,,,,,,,,
23-07-2000,Orders3,9604,,,,,,,,,,
24-07-2000,Orders3,14916,,,,,,,,,,
25-07-2000,Orders3,8774,,,,,,,,,,
26-07-2000,Orders1,6797,,,,,,,,,,
27-07-2000,Orders,6623,,,,,,,,,,
28-07-2000,Orders2,6868,,,,,,,,,,
29-07-2000,Orders2,13929,,,,,,,,,,
30-07-2000,Orders,13002,,,,,,,,,,
31-07-2000,Orders3,10099,,,,,,,,,,
01-08-2000,Orders1,14543,,,,,,,,,,
02-08-2000,Orders1,1153,,,,,,,,,,
03-08-2000,Orders1,7614,,,,,,,,,,
04-08-2000,Orders2,7359,,,,,,,,,,
05-08-2000,Orders3,265,,,,,,,,,,
06-08-2000,Orders,33,,,,,,,,,,
07-08-2000,Orders3,996,,,,,,,,,,
08-08-2000,Orders2,281,,,,,,,,,,
09-08-2000,Orders,5434,,,,,,,,,,
10-08-2000,Orders,597,,,,,,,,,,
11-08-2000,Orders1,8784,,,,,,,,,,
12-08-2000,Orders2,5656,,,,,,,,,,
13-08-2000,Orders,11057,,,,,,,,,,
14-08-2000,Orders3,9666,,,,,,,,,,
15-08-2000,Orders2,8306,,,,,,,,,,
16-08-2000,Orders1,14118,,,,,,,,,,
17-08-2000,Orders,3032,,,,,,,,,,
18-08-2000,Orders3,1391,,,,,,,,,,
19-08-2000,Orders2,13077,,,,,,,,,,
20-08-2000,Orders1,2911,,,,,,,,,,
21-08-2000,Orders1,11774,,,,,,,,,,
22-08-2000,Orders1,5303,,,,,,,,,,
23-08-2000,Orders1,797,,,,,,,,,,
24-08-2000,Orders2,13585,,,,,,,,,,
25-08-2000,Orders,6989,,,,,,,,,,
26-08-2000,Orders2,1990,,,,,,,,,,
27-08-2000,Orders1,11674,,,,,,,,,,
28-08-2000,Orders3,246,,,,,,,,,,
29-08-2000,Orders1,3822,,,,,,,,,,
30-08-2000,Orders3,13839,,,,,,,,,,
31-08-2000,Orders3,5431,,,,,,,,,,
01-09-2000,Orders2,13454,,,,,,,,,,
02-09-2000,Orders1,9931,,,,,,,,,,
03-09-2000,Orders3,1323,,,,,,,,,,
04-09-2000,Orders,7687,,,,,,,,,,
05-09-2000,Orders,7463,,,,,,,,,,
06-09-2000,Orders1,7386,,,,,,,,,,
07-09-2000,Orders2,14119,,,,,,,,,,
08-09-2000,Orders1,11078,,,,,,,,,,
09-09-2000,Orders3,1005,,,,,,,,,,
10-09-2000,Orders,795,,,,,,,,,,
11-09-2000,Orders3,2348,,,,,,,,,,
12-09-2000,Orders,12010,,,,,,,,,,
13-09-2000,Orders3,6580,,,,,,,,,,
14-09-2000,Orders1,3972,,,,,,,,,,
15-09-2000,Orders3,12245,,,,,,,,,,
16-09-2000,Orders2,8122,,,,,,,,,,
17-09-2000,Orders,6975,,,,,,,,,,
18-09-2000,Orders,11654,,,,,,,,,,
19-09-2000,Orders,13952,,,,,,,,,,
20-09-2000,Orders1,6942,,,,,,,,,,
21-09-2000,Orders1,1665,,,,,,,,,,
22-09-2000,Orders,14953,,,,,,,,,,
23-09-2000,Orders1,5502,,,,,,,,,,
24-09-2000,Orders3,11078,,,,,,,,,,
25-09-2000,Orders2,6462,,,,,,,,,,
26-09-2000,Orders2,5911,,,,,,,,,,
27-09-2000,Orders,13570,,,,,,,,,,
28-09-2000,Orders,8065,,,,,,,,,,
29-09-2000,Orders3,903,,,,,,,,,,
30-09-2000,Orders,7583,,,,,,,,,,
01-10-2000,Orders,12675,,,,,,,,,,
02-10-2000,Orders1,12053,,,,,,,,,,
03-10-2000,Orders2,11424,,,,,,,,,,
04-10-2000,Orders1,14332,,,,,,,,,,
05-10-2000,Orders2,343,,,,,,,,,,
06-10-2000,Orders3,9997,,,,,,,,,,
07-10-2000,Orders3,3349,,,,,,,,,,
08-10-2000,Orders,2936,,,,,,,,,,
09-10-2000,Orders2,4812,,,,,,,,,,
10-10-2000,Orders2,12367,,,,,,,,,,
11-10-2000,Orders,14957,,,,,,,,,,
12-10-2000,Orders,4245,,,,,,,,,,
13-10-2000,Orders,2006,,,,,,,,,,
14-10-2000,Orders2,8548,,,,,,,,,,
15-10-2000,Orders,3162,,,,,,,,,,
16-10-2000,Orders2,8921,,,,,,,,,,
17-10-2000,Orders3,5599,,,,,,,,,,
18-10-2000,Orders2,12144,,,,,,,,,,
19-10-2000,Orders2,4547,,,,,,,,,,
20-10-2000,Orders1,9090,,,,,,,,,,
21-10-2000,Orders2,12229,,,,,,,,,,
22-10-2000,Orders2,12956,,,,,,,,,,
23-10-2000,Orders1,6415,,,,,,,,,,
24-10-2000,Orders2,2270,,,,,,,,,,
25-10-2000,Orders,2043,,,,,,,,,,
26-10-2000,Orders2,5963,,,,,,,,,,
27-10-2000,Orders2,8956,,,,,,,,,,
28-10-2000,Orders1,11388,,,,,,,,,,
29-10-2000,Orders3,7374,,,,,,,,,,
30-10-2000,Orders3,8672,,,,,,,,,,
31-10-2000,Orders1,10138,,,,,,,,,,
01-11-2000,Orders2,8180,,,,,,,,,,
02-11-2000,Orders2,6526,,,,,,,,,,
03-11-2000,Orders1,8733,,,,,,,,,,
04-11-2000,Orders,1664,,,,,,,,,,
05-11-2000,Orders,11607,,,,,,,,,,
06-11-2000,Orders,12126,,,,,,,,,,
07-11-2000,Orders2,14268,,,,,,,,,,
08-11-2000,Orders3,8769,,,,,,,,,,
09-11-2000,Orders1,13564,,,,,,,,,,
10-11-2000,Orders1,9508,,,,,,,,,,
11-11-2000,Orders1,2037,,,,,,,,,,
12-11-2000,Orders2,9703,,,,,,,,,,
13-11-2000,Orders1,3837,,,,,,,,,,
14-11-2000,Orders,1119,,,,,,,,,,
15-11-2000,Orders,13453,,,,,,,,,,
16-11-2000,Orders,9865,,,,,,,,,,
17-11-2000,Orders1,8326,,,,,,,,,,
18-11-2000,Orders2,5870,,,,,,,,,,
19-11-2000,Orders1,7151,,,,,,,,,,
20-11-2000,Orders1,13537,,,,,,,,,,
21-11-2000,Orders,916,,,,,,,,,,
22-11-2000,Orders,3375,,,,,,,,,,
23-11-2000,Orders3,13377,,,,,,,,,,
24-11-2000,Orders,3413,,,,,,,,,,
25-11-2000,Orders2,13984,,,,,,,,,,
26-11-2000,Orders2,10487,,,,,,,,,,
27-11-2000,Orders3,9724,,,,,,,,,,
28-11-2000,Orders,1736,,,,,,,,,,
29-11-2000,Orders1,1973,,,,,,,,,,
30-11-2000,Orders1,5652,,,,,,,,,,
01-12-2000,Orders3,5500,,,,,,,,,,
02-12-2000,Orders1,25,,,,,,,,,,
03-12-2000,Orders3,10936,,,,,,,,,,
04-12-2000,Orders2,4547,,,,,,,,,,
05-12-2000,Orders2,4233,,,,,,,,,,
06-12-2000,Orders2,14187,,,,,,,,,,
07-12-2000,Orders,13992,,,,,,,,,,
08-12-2000,Orders,6882,,,,,,,,,,
09-12-2000,Orders,7782,,,,,,,,,,
10-12-2000,Orders2,6652,,,,,,,,,,
11-12-2000,Orders1,14298,,,,,,,,,,
12-12-2000,Orders,283,,,,,,,,,,
13-12-2000,Orders,5079,,,,,,,,,,
14-12-2000,Orders,4700,,,,,,,,,,
15-12-2000,Orders3,10338,,,,,,,,,,
16-12-2000,Orders3,6739,,,,,,,,,,
17-12-2000,Orders1,10215,,,,,,,,,,
18-12-2000,Orders1,2801,,,,,,,,,,
19-12-2000,Orders2,6067,,,,,,,,,,
20-12-2000,Orders,2150,,,,,,,,,,
21-12-2000,Orders2,7363,,,,,,,,,,
22-12-2000,Orders3,3143,,,,,,,,,,
23-12-2000,Orders2,2252,,,,,,,,,,
24-12-2000,Orders,4751,,,,,,,,,,
25-12-2000,Orders2,1641,,,,,,,,,,
26-12-2000,Orders3,9689,,,,,,,,,,
27-12-2000,Orders1,7311,,,,,,,,,,
28-12-2000,Orders,9942,,,,,,,,,,
29-12-2000,Orders3,1791,,,,,,,,,,
30-12-2000,Orders1,7071,,,,,,,,,,
31-12-2000,Orders,10114,,,,,,,,,,
01-01-2001,Orders1,250,,,,,,,,,,
02-01-2001,Orders3,1584,,,,,,,,,,
03-01-2001,Orders,3438,,,,,,,,,,
04-01-2001,Orders,9053,,,,,,,,,,
05-01-2001,Orders1,10196,,,,,,,,,,
06-01-2001,Orders3,14796,,,,,,,,,,
07-01-2001,Orders2,12307,,,,,,,,,,
08-01-2001,Orders1,2766,,,,,,,,,,
09-01-2001,Orders2,9086,,,,,,,,,,
10-01-2001,Orders2,4100,,,,,,,,,,
11-01-2001,Orders2,1094,,,,,,,,,,
12-01-2001,Orders,752,,,,,,,,,,
13-01-2001,Orders3,4217,,,,,,,,,,
14-01-2001,Orders1,4835,,,,,,,,,,
15-01-2001,Orders1,6815,,,,,,,,,,
16-01-2001,Orders2,4,,,,,,,,,,
17-01-2001,Orders2,4687,,,,,,,,,,
18-01-2001,Orders1,4310,,,,,,,,,,
19-01-2001,Orders1,665,,,,,,,,,,
20-01-2001,Orders,12596,,,,,,,,,,
21-01-2001,Orders2,10316,,,,,,,,,,
22-01-2001,Orders2,6662,,,,,,,,,,
23-01-2001,Orders2,12423,,,,,,,,,,
24-01-2001,Orders1,14164,,,,,,,,,,
25-01-2001,Orders1,8642,,,,,,,,,,
26-01-2001,Orders,11848,,,,,,,,,,
27-01-2001,Orders2,4496,,,,,,,,,,
28-01-2001,Orders3,14440,,,,,,,,,,
29-01-2001,Orders1,12136,,,,,,,,,,
30-01-2001,Orders1,10006,,,,,,,,,,
31-01-2001,Orders1,11137,,,,,,,,,,
01-02-2001,Orders2,7836,,,,,,,,,,
02-02-2001,Orders3,5653,,,,,,,,,,
03-02-2001,Orders3,10448,,,,,,,,,,
04-02-2001,Orders2,1653,,,,,,,,,,
05-02-2001,Orders2,8669,,,,,,,,,,
06-02-2001,Orders2,6689,,,,,,,,,,
07-02-2001,Orders2,14478,,,,,,,,,,
08-02-2001,Orders,957,,,,,,,,,,
09-02-2001,Orders,1665,,,,,,,,,,
10-02-2001,Orders2,5903,,,,,,,,,,
11-02-2001,Orders3,1073,,,,,,,,,,
12-02-2001,Orders2,13412,,,,,,,,,,
13-02-2001,Orders2,3197,,,,,,,,,,
14-02-2001,Orders,10533,,,,,,,,,,
15-02-2001,Orders,821,,,,,,,,,,
16-02-2001,Orders1,1695,,,,,,,,,,
17-02-2001,Orders3,1755,,,,,,,,,,
18-02-2001,Orders1,10207,,,,,,,,,,
19-02-2001,Orders,12766,,,,,,,,,,
20-02-2001,Orders2,8351,,,,,,,,,,
21-02-2001,Orders,2587,,,,,,,,,,
22-02-2001,Orders3,3861,,,,,,,,,,
23-02-2001,Orders3,13429,,,,,,,,,,
24-02-2001,Orders1,6855,,,,,,,,,,
25-02-2001,Orders1,970,,,,,,,,,,
26-02-2001,Orders2,8265,,,,,,,,,,
27-02-2001,Orders,7994,,,,,,,,,,
28-02-2001,Orders,10338,,,,,,,,,,
01-03-2001,Orders3,13527,,,,,,,,,,
02-03-2001,Orders3,5694,,,,,,,,,,
03-03-2001,Orders3,7844,,,,,,,,,,
04-03-2001,Orders2,1689,,,,,,,,,,
05-03-2001,Orders3,13891,,,,,,,,,,
06-03-2001,Orders,14561,,,,,,,,,,
07-03-2001,Orders1,12631,,,,,,,,,,
08-03-2001,Orders2,7345,,,,,,,,,,
09-03-2001,Orders3,10822,,,,,,,,,,
10-03-2001,Orders1,5307,,,,,,,,,,
11-03-2001,Orders,6701,,,,,,,,,,
12-03-2001,Orders3,9895,,,,,,,,,,
13-03-2001,Orders3,5717,,,,,,,,,,
14-03-2001,Orders1,6157,,,,,,,,,,
15-03-2001,Orders2,13614,,,,,,,,,,
16-03-2001,Orders1,6302,,,,,,,,,,
17-03-2001,Orders3,13710,,,,,,,,,,
18-03-2001,Orders1,6563,,,,,,,,,,
19-03-2001,Orders,5823,,,,,,,,,,
20-03-2001,Orders3,13697,,,,,,,,,,
21-03-2001,Orders2,3671,,,,,,,,,,
22-03-2001,Orders1,5301,,,,,,,,,,
23-03-2001,Orders2,2014,,,,,,,,,,
24-03-2001,Orders,10563,,,,,,,,,,
25-03-2001,Orders1,285,,,,,,,,,,
26-03-2001,Orders2,2459,,,,,,,,,,
27-03-2001,Orders,6600,,,,,,,,,,
28-03-2001,Orders3,3635,,,,,,,,,,
29-03-2001,Orders1,11485,,,,,,,,,,
30-03-2001,Orders1,10382,,,,,,,,,,
31-03-2001,Orders1,1000,,,,,,,,,,
01-04-2001,Orders3,13780,,,,,,,,,,
02-04-2001,Orders2,163,,,,,,,,,,
03-04-2001,Orders,5517,,,,,,,,,,
04-04-2001,Orders3,5139,,,,,,,,,,
05-04-2001,Orders,398,,,,,,,,,,
06-04-2001,Orders2,2606,,,,,,,,,,
07-04-2001,Orders2,11475,,,,,,,,,,
08-04-2001,Orders1,9775,,,,,,,,,,
09-04-2001,Orders2,11901,,,,,,,,,,
10-04-2001,Orders3,10768,,,,,,,,,,
11-04-2001,Orders2,10814,,,,,,,,,,
12-04-2001,Orders2,12190,,,,,,,,,,
13-04-2001,Orders2,2319,,,,,,,,,,
14-04-2001,Orders3,11604,,,,,,,,,,
15-04-2001,Orders1,3742,,,,,,,,,,
16-04-2001,Orders,9604,,,,,,,,,,
17-04-2001,Orders2,7941,,,,,,,,,,
18-04-2001,Orders2,14158,,,,,,,,,,
19-04-2001,Orders3,7937,,,,,,,,,,
20-04-2001,Orders1,13107,,,,,,,,,,
21-04-2001,Orders,13652,,,,,,,,,,
22-04-2001,Orders3,6531,,,,,,,,,,
23-04-2001,Orders3,2652,,,,,,,,,,
24-04-2001,Orders2,2598,,,,,,,,,,
25-04-2001,Orders1,13836,,,,,,,,,,
26-04-2001,Orders1,8252,,,,,,,,,,
27-04-2001,Orders2,13559,,,,,,,,,,
28-04-2001,Orders3,9796,,,,,,,,,,
29-04-2001,Orders2,7359,,,,,,,,,,
30-04-2001,Orders,13637,,,,,,,,,,
01-05-2001,Orders1,2261,,,,,,,,,,
02-05-2001,Orders,10720,,,,,,,,,,
03-05-2001,Orders2,1119,,,,,,,,,,
04-05-2001,Orders3,5413,,,,,,,,,,
05-05-2001,Orders,14871,,,,,,,,,,
06-05-2001,Orders2,5894,,,,,,,,,,
07-05-2001,Orders2,1357,,,,,,,,,,
08-05-2001,Orders,12671,,,,,,,,,,
09-05-2001,Orders1,1738,,,,,,,,,,
10-05-2001,Orders2,6053,,,,,,,,,,
11-05-2001,Orders,3360,,,,,,,,,,
12-05-2001,Orders1,5023,,,,,,,,,,
13-05-2001,Orders1,14831,,,,,,,,,,
14-05-2001,Orders3,563,,,,,,,,,,
15-05-2001,Orders,2554,,,,,,,,,,
16-05-2001,Orders2,3595,,,,,,,,,,
17-05-2001,Orders,4642,,,,,,,,,,
18-05-2001,Orders1,12180,,,,,,,,,,
19-05-2001,Orders1,5649,,,,,,,,,,
20-05-2001,Orders,8641,,,,,,,,,,
21-05-2001,Orders3,3904,,,,,,,,,,
22-05-2001,Orders2,2728,,,,,,,,,,
23-05-2001,Orders1,12548,,,,,,,,,,
24-05-2001,Orders2,1688,,,,,,,,,,
25-05-2001,Orders3,14743,,,,,,,,,,
26-05-2001,Orders,7790,,,,,,,,,,
27-05-2001,Orders1,12057,,,,,,,,,,
28-05-2001,Orders,10918,,,,,,,,,,
29-05-2001,Orders2,11807,,,,,,,,,,
30-05-2001,Orders1,8760,,,,,,,,,,
31-05-2001,Orders1,10301,,,,,,,,,,
01-06-2001,Orders,12641,,,,,,,,,,
02-06-2001,Orders3,1560,,,,,,,,,,
03-06-2001,Orders1,90,,,,,,,,,,
04-06-2001,Orders3,6309,,,,,,,,,,
05-06-2001,Orders2,14944,,,,,,,,,,
06-06-2001,Orders,1334,,,,,,,,,,
07-06-2001,Orders,3990,,,,,,,,,,
08-06-2001,Orders3,2757,,,,,,,,,,
09-06-2001,Orders,1004,,,,,,,,,,
10-06-2001,Orders3,8223,,,,,,,,,,
11-06-2001,Orders2,9362,,,,,,,,,,
12-06-2001,Orders3,5120,,,,,,,,,,
13-06-2001,Orders2,13919,,,,,,,,,,
14-06-2001,Orders2,7049,,,,,,,,,,
15-06-2001,Orders,3773,,,,,,,,,,
16-06-2001,Orders1,6047,,,,,,,,,,
17-06-2001,Orders,1857,,,,,,,,,,
18-06-2001,Orders,6676,,,,,,,,,,
19-06-2001,Orders3,14012,,,,,,,,,,
20-06-2001,Orders1,6874,,,,,,,,,,
21-06-2001,Orders1,8360,,,,,,,,,,
22-06-2001,Orders,13793,,,,,,,,,,
23-06-2001,Orders,7972,,,,,,,,,,
24-06-2001,Orders2,6737,,,,,,,,,,
25-06-2001,Orders1,13604,,,,,,,,,,
26-06-2001,Orders3,2626,,,,,,,,,,
27-06-2001,Orders,13381,,,,,,,,,,
28-06-2001,Orders2,7972,,,,,,,,,,
29-06-2001,Orders2,5568,,,,,,,,,,
30-06-2001,Orders,12023,,,,,,,,,,
01-07-2001,Orders,3260,,,,,,,,,,
02-07-2001,Orders3,8346,,,,,,,,,,
03-07-2001,Orders2,7694,,,,,,,,,,
04-07-2001,Orders2,9501,,,,,,,,,,
05-07-2001,Orders,3513,,,,,,,,,,
06-07-2001,Orders2,5144,,,,,,,,,,
07-07-2001,Orders,8620,,,,,,,,,,
08-07-2001,Orders1,13796,,,,,,,,,,
09-07-2001,Orders,14248,,,,,,,,,,
10-07-2001,Orders1,688,,,,,,,,,,
11-07-2001,Orders2,325,,,,,,,,,,
12-07-2001,Orders3,10497,,,,,,,,,,
13-07-2001,Orders,3278,,,,,,,,,,
14-07-2001,Orders2,8543,,,,,,,,,,
15-07-2001,Orders2,13899,,,,,,,,,,
16-07-2001,Orders3,1675,,,,,,,,,,
17-07-2001,Orders3,936,,,,,,,,,,
18-07-2001,Orders2,12082,,,,,,,,,,
